date,value
6:06:06,3556
6:06:07,2670
6:06:08,2402
6:06:09,3644
6:06:09,3803
6:06:09,4126
6:06:12,1710
6:06:15,2218
6:06:17,2194
6:06:17,1981
6:06:20,2787
6:06:22,4041
6:06:22,3929
6:06:23,4432
6:06:24,4433
6:06:25,4354
6:06:28,2573
6:06:29,3764
6:06:36,2392
6:06:37,4418
6:06:38,3348
6:06:38,3349
6:06:42,2718
6:06:43,1519
6:06:44,1524
6:06:47,2649
6:06:48,3820
6:06:49,1959
6:06:52,2285
6:06:53,3835
6:06:53,2612
6:06:54,1771
6:06:58,2712
6:06:58,3810
6:06:59,3087
6:06:59,3239
6:07:00,3381
6:07:02,3546
6:07:03,1953
6:07:04,4505
6:07:04,3783
6:07:05,2309
6:07:05,3886
6:07:05,2197
6:07:11,2124
6:07:11,1592
6:07:13,1501
6:07:14,4278
6:07:15,2771
6:07:16,1719
6:07:18,3948
6:07:19,2271
6:07:20,3868
6:07:23,2427
6:07:23,3947
6:07:24,1801
6:07:24,1962
6:07:28,4314
6:07:39,4016
6:07:40,2258
6:07:41,3144
6:07:42,2031
6:07:42,3887
6:07:46,4477
6:07:46,3806
6:07:46,1481
6:07:47,2643
6:07:47,4537
6:07:49,3660
6:07:51,4546
6:07:51,2806
6:07:54,4402
6:07:55,3986
6:07:55,1597
6:07:56,1473
6:07:57,1478
6:07:57,4373
6:07:58,3596
6:08:00,4074
6:08:01,4556
6:08:02,2636
6:08:04,2483
6:08:05,2874
6:08:07,2843
6:08:08,3772
6:08:15,4361
6:08:15,2317
6:08:15,1776
6:08:18,1565
6:08:18,1589
6:08:18,4328
6:08:20,4276
6:08:20,2100
6:08:21,3928
6:08:22,4445
6:08:22,1481
6:08:23,4079
6:08:24,2759
6:08:24,2387
6:08:28,2200
6:08:28,2220
6:08:31,2961
6:08:31,2382
6:08:35,2278
6:08:35,2291
6:08:38,4294
6:08:41,3772
6:08:41,3238
6:08:45,3926
6:08:45,3514
6:08:46,2684
6:08:46,4531
6:08:47,3663
6:08:47,4566
6:08:49,4282
6:08:52,4253
6:08:53,3276
6:08:55,2929
6:08:55,3509
6:08:55,1627
6:08:56,2616
6:08:56,2661
6:08:56,3935
6:08:56,4515
6:08:58,2037
6:08:59,1663
6:09:00,1608
6:09:00,3944
6:09:02,2789
